t,x1,x2,y
0.0,0.8,0.0,0.8152358539877216
0.01,0.7996483327340234,-0.0703118683505696,0.7476491274219986
0.02,0.7985942740756596,-0.14047030634652702,0.8361168338659825
0.03,0.7968395973899479,-0.21042750035969812,0.8438678332095086
0.04,0.7943865542243246,-0.2801356346238311,0.6968347947916328
0.05,0.7912378743588717,-0.3495468429979713,0.7261288990157558
0.06,0.787396766923652,-0.4186131164514003,0.7937887870820163
0.07,0.7828669224772614,-0.487286246475913,0.7670547928600823
0.08,0.7776525139782526,-0.5555177933775988,0.7768124561030382
0.09,0.7717582006421648,-0.6232590019734278,0.7291060042634858
0.1,0.7651891318621732,-0.6904607590110383,0.8091590306053146
0.11,0.7579509488700045,-0.7570735735965103,0.7968405456414519
0.12,0.7500497895912726,-0.8230475281167932,0.7533513244693334
0.13,0.7414922950477538,-0.8883322372910082,0.7978543553961555
0.14,0.732285612158244,-0.9528768536215196,0.7556610792708462
0.15,0.7224373962228647,-1.0166300603850487,0.6794727730787028
0.16,0.7119558206009124,-1.0795400331484257,0.7303933598050374
0.17,0.7008495802479549,-1.1415544789601768,0.6529054502065049
0.18,0.6891278927992567,-1.202620662343607,0.7330504078646203
0.19,0.6768005045776502,-1.2626854130816516,0.6743042090283375
0.2,0.6638776997098347,-1.3216951407850408,0.6546345815325717
0.21,0.6503702987262882,-1.3795959460946936,0.6163238215060911
0.22,0.6362896588143583,-1.4363336494125587,0.6974167257480598
0.23,0.6216476824722245,-1.491853835870489,0.6139212083687844
0.24,0.6064568209344071,-1.546101943708786,0.5850404298262517
0.25,0.5907300674286797,-1.5990234196424808,0.5731233899042683
0.26,0.5744809569745685,-1.6505637554043031,0.6010964162522359
0.27,0.5577235745807823,-1.7006685831891268,0.5759957777989861
0.28,0.5404725498115152,-1.7492838328551878,0.5611091803913146
0.29,0.5227430446853223,-1.7963559129830735,0.5442840948357164
0.3,0.5045507522934707,-1.8418317609668144,0.6116331323369938
0.31,0.48591190123754396,-1.8856589878466117,0.46559115041831317
0.32,0.4668432398806522,-1.9277860852893005,0.44123110342707533
0.33,0.4473620185760543,-1.9681626189409678,0.4066733821636604
0.34,0.42748598620493605,-2.006739291868046,0.45828495733371083
0.35000000000000003,0.40723338817051447,-2.043468125888413,0.463682002806559
0.36,0.3866229394200362,-2.078302694306343,0.3809255665372925
0.37,0.36567380184429676,-2.1111983054713246,0.32366597799617036
0.38,0.3444055775407055,-2.142112080714657,0.3031815167561435
0.39,0.32283829886319887,-2.1710031463252517,0.3553679382544339
0.4,0.3009923887794242,-2.197832869252141,0.3381550973395963
0.41000000000000003,0.2788886375730997,-2.2225649973098855,0.3060463509883594
0.42,0.2565481902328982,-2.245165757040365,0.22327270486846348
0.43,0.23399252820574798,-2.26560402086938,0.24560059435908396
0.44,0.21124341674315533,-2.283851518964959,0.21707770720019173
0.45,0.18832288696011085,-2.2998829145351634,0.1992573167965615
0.46,0.16525321600968546,-2.3136759071731987,0.20882465490709495
0.47000000000000003,0.14205689406055425,-2.325211363569804,0.15323667149928835
0.48,0.11875657123397437,-2.3344734471226105,0.15270224938756913
0.49,0.09537504361602918,-2.341449650664924,0.09875399709047375
0.5,0.07193522544986979,-2.346130872464234,0.086391195384369
0.51,0.04846009799861076,-2.3485114830346325,0.08002450929053778
0.52,0.024972674378684858,-2.348589360478212,-0.04788511661409846
0.53,0.0014959789443320694,-2.3463658953247486,-0.014487581873532999
0.54,-0.02194698889455006,-2.3418460001337458,-0.045465621609189835
0.55,-0.04533331043111366,-2.335038091922987,-0.07727720284328077
0.56,-0.06864016479407223,-2.32595407275015,-0.08239727735540642
0.5700000000000001,-0.09184485792059621,-2.3146092785405603,-0.017097792358876415
0.58,-0.11492487376995576,-2.3010223985760465,-0.15821642955461793
0.59,-0.13785790412803378,-2.285215418677427,-0.08944398639845974
0.6,-0.16062186874520198,-2.2672135360629344,-0.24476535732599222
0.61,-0.18319495210201445,-2.2470450377344324,-0.19993920360130318
0.62,-0.20555564792310627,-2.2247411633437086,-0.19741799466785598
0.63,-0.22768277305229867,-2.2003360253730375,-0.19837165648433475
0.64,-0.2495554892736499,-2.173866460737098,-0.21399416028400714
0.65,-0.2711533488240037,-2.145371823941583,-0.23148598706400744
0.66,-0.29245631309605585,-2.1148938897987284,-0.30989256670847776
0.67,-0.313444765656295,-2.0824766995576076,-0.33656235528952333
0.68,-0.3340995369488089,-2.0481663704241826,-0.2912007428859512
0.6900000000000001,-0.35440193865224306,-2.0120108794490754,-0.3639671548963238
0.7000000000000001,-0.3743337703099196,-1.974059981744217,-0.4381180864768157
0.71,-0.39387732811550685,-1.934365014806937,-0.4505416888156809
0.72,-0.41301543139446983,-1.892978673669635,-0.45898804569455043
0.73,-0.4317314396653931,-1.8499548596369921,-0.4068734024627049
0.74,-0.45000925510414475,-1.8053485635741249,-0.4428879683006165
0.75,-0.46783332557373825,-1.7592156941544739,-0.43330905787034985
0.76,-0.4851886670666725,-1.7116128388063283,-0.5065512993834992
0.77,-0.5020608698049812,-1.662597180019904,-0.4941338852511455
0.78,-0.5184360951657927,-1.612226365832564,-0.48715657546742586
0.79,-0.5343010759428788,-1.5605583669645129,-0.5497684029288907
0.8,-0.5496431301463155,-1.5076512777667452,-0.5268043682684449
0.81,-0.564450162301849,-1.4535632684295532,-0.5975464593551816
0.8200000000000001,-0.5787106544597747,-1.3983524753974361,-0.5968633467880282
0.8300000000000001,-0.5924136647576369,-1.3420768934912704,-0.6115005594575533
0.84,-0.6055488334707729,-1.2847942380162998,-0.665340815750225
0.85,-0.6181063816930867,-1.2265619173031612,-0.5937577576538077
0.86,-0.6300770978268219,-1.1674369628898094,-0.6535472148369581
0.87,-0.6414523356949428,-1.1074759596073895,-0.6408276297585583
0.88,-0.6522240152156207,-1.0467349697964041,-0.6281866822703253
0.89,-0.6623846186860743,-0.9852695216130822,-0.6400580598845771
0.9,-0.6719271754871262,-0.9231345867563017,-0.6386579200384869
