n,statistic,method,rep,T,lo,hi,width,covers,theta_true,family,alpha,B
10,mean,percentile,0,0.9277506746473538,0.6949621779195941,1.1253425781589632,0.4303804002393691,0,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,1,1.246209365875754,0.7979697138306027,1.7961865277994544,0.9982168139688518,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,2,0.9707320261378264,0.5947156170415874,1.4530292688737754,0.858313651832188,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,3,1.1017209669551513,0.7413414292425842,1.5043791044254258,0.7630376751828416,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,4,1.2201789369009624,0.9434278349670193,1.552113039035608,0.6086852040685886,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,5,0.9834215009311119,0.7269483095748781,1.2917275679792684,0.5647792584043902,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,6,1.1648814929730775,0.7689988656429536,1.6136944964208166,0.844695630777863,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,7,1.0857068448102798,0.9201322072346512,1.242702152158435,0.32256994492378377,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,8,1.2101730801984436,0.8226894033491884,1.8129738381087566,0.9902844347595682,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,9,1.2232127356491396,0.7077116808080444,1.820289787773138,1.1125781069650937,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,10,1.3700972606412654,0.859927364453005,1.8811266999696978,1.0211993355166928,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,11,0.9558612760767806,0.7725307751250015,1.2020295289138467,0.4294987537888453,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,12,1.2292911757665934,1.0370235698275023,1.425223332790003,0.3881997629625007,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,13,0.9475530850836856,0.6084037258032383,1.3513160885912523,0.742912362788014,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,14,1.238697226927405,0.8960911808424307,1.6746308994109331,0.7785397185685025,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,15,0.9056089074183667,0.6775672614709394,1.1757854094512903,0.4982181479803509,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,16,1.297850957052077,0.9994046659885454,1.6419349845104538,0.6425303185219085,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,17,1.143773860370289,0.8394857205650554,1.4930093385867318,0.6535236180216764,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,18,0.9425663469705736,0.7047766466779808,1.26192977261214,0.5571531259341591,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,19,0.7608371926600599,0.6332153892637614,0.8852520647396062,0.25203667547584474,0,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,20,1.0430469269116114,0.7506212490616301,1.2868974590975384,0.5362762100359083,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,21,0.9427638619446604,0.7514964028245854,1.2312565828340423,0.47976018000945686,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,22,1.3083065224728991,0.9161064156347526,1.790468679097124,0.8743622634623714,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,23,1.2079499238157647,0.9215918159377494,1.5455336151770704,0.623941799239321,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,24,1.3938807903438137,1.0933477419090878,1.7979002131494533,0.7045524712403655,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,25,1.1157674688167387,0.8090646407862493,1.4341578839669222,0.6250932431806729,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,26,1.0134512227139796,0.8186015249577127,1.313363250200104,0.49476172524239137,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,27,1.0852340138928793,0.8203827338747739,1.3843391348165877,0.5639564009418138,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,28,0.9163765081361582,0.732041431587829,1.085278678300854,0.3532372467130249,0,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,29,1.5062623891601008,1.2412101821588937,1.7534057139731716,0.5121955318142779,0,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,30,1.1782360058904007,0.8229776849447726,1.5519085094829477,0.728930824538175,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,31,1.3046433155531574,0.9262704733563062,1.702758347606246,0.7764878742499398,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,32,1.4044693919690323,1.0494309024464286,1.8586831728417006,0.809252270395272,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,33,1.1753521303070351,0.852813346355633,1.585110810097549,0.7322974637419161,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,34,1.1375267149902477,0.7584331057126424,1.6004850161553406,0.8420519104426981,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,35,1.3278152660768021,0.9805592592449174,1.73150240052425,0.7509431412793327,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,36,1.0355050041390974,0.8150611476037551,1.2290658883950025,0.4140047407912474,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,37,1.0243776682032717,0.8021483847586263,1.2544299219977317,0.45228153723910547,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,38,0.9396306320117208,0.7951439984309998,1.1366697654166822,0.3415257669856824,1,1.1331484530668263,lognormal,0.05,300
10,mean,percentile,39,1.182957440154509,0.7154829415285386,1.7128603970618437,0.997377455533305,1,1.1331484530668263,lognormal,0.05,300
