r,lambda
2.8754693366708386,-0.1329951516607377
2.877346683354193,-0.1308530587316838
2.879224030037547,-0.12871554455837464
2.8811013767209013,-0.12658258960823227
2.882978723404255,-0.1244541744734074
2.8848560700876096,-0.12233027986970152
2.8867334167709635,-0.12021088663553924
2.888610763454318,-0.1180959757309115
2.8904881101376723,-0.11598552823636638
2.892365456821026,-0.1138795253519776
2.8942428035043806,-0.111777948396352
2.8961201501877345,-0.1096807788056273
2.897997496871089,-0.10758799813249977
2.899874843554443,-0.10549958804522801
2.901752190237797,-0.10341553032669853
2.9036295369211516,-0.10133580687344897
2.9055068836045055,-0.09926039969473863
2.90738423028786,-0.09718929091160042
2.909261576971214,-0.09512246275593807
2.911138923654568,-0.09305989756958866
2.9130162703379225,-0.09100157780343374
2.9148936170212765,-0.08894748601649553
2.916770963704631,-0.08689760487505056
2.918648310387985,-0.08485191715175941
2.920525657071339,-0.08281040572478335
2.9224030037546935,-0.08077305357693856
2.9242803504380475,-0.07873984379484184
2.926157697121402,-0.07671075956805888
2.9280350438047558,-0.07468578418828799
2.92991239048811,-0.07266490104851447
2.9317897371714645,-0.07064809364221182
2.9336670838548184,-0.06863534556251441
2.935544430538173,-0.06662664050143408
2.9374217772215268,-0.0646219622490546
2.939299123904881,-0.06262129469275796
2.9411764705882355,-0.06062462181643468
2.9430538172715894,-0.05863192769972477
2.944931163954944,-0.05664319651724979
2.9468085106382977,-0.054658412537864735
2.948685857321652,-0.05267756012390192
2.9505632040050065,-0.05070062373044613
2.9524405506883604,-0.04872758790458946
2.954317897371715,-0.04675843728470777
2.9561952440550687,-0.04479315659975468
2.958072590738423,-0.042831730668535954
2.959949937421777,-0.04087414439901862
2.9618272841051314,-0.038920382787624476
2.963704630788486,-0.0369704309185447
2.9655819774718397,-0.03502427396305891
2.967459324155194,-0.03308189717885191
2.969336670838548,-0.03114328590934962
2.9712140175219024,-0.02920842558304755
2.9730913642052563,-0.027277301712846876
2.9749687108886107,-0.025349899895349897
2.976846057571965,-0.023426205809991427
2.978723404255319,-0.021506205217383705
2.9806007509386734,-0.01958988395421178
2.9824780976220273,-0.017677227912998462
2.9843554443053817,-0.015768222956451656
2.986232790988736,-0.013862854552862416
2.98811013767209,-0.011961106244904835
2.9899874843554444,-0.010062953407445513
2.9918648310387983,-0.00816833980464975
2.9937421777221527,-0.006277120531902541
2.995619524405507,-0.004389551759052532
2.997496871088861,-0.0025227605101663013
2.9993742177722154,-0.0010738240498127868
3.0012515644555693,-0.002675535623576976
3.0031289111389237,-0.006309791374031479
3.005006257822278,-0.010127253277280868
3.006883604505632,-0.013984676230105325
3.0087609511889863,-0.017876059191954074
3.0106382978723403,-0.021801661145543584
3.0125156445556946,-0.025762039236270528
3.014392991239049,-0.029757777704089397
3.016270337922403,-0.03378947626317622
3.0181476846057573,-0.03785775008719024
3.0200250312891113,-0.04196323032112366
3.0219023779724656,-0.0461065646379717
3.02377972465582,-0.05028841782076819
3.025657071339174,-0.054509472370526724
3.027534418022528,-0.05877042914144656
3.0294117647058822,-0.06307200800480149
3.0312891113892366,-0.06741494854317202
3.033166458072591,-0.07180001077661063
3.035043804755945,-0.07622797592256349
3.036921151439299,-0.0806996471914658
3.0387984981226532,-0.08521585061999601
3.0406758448060076,-0.08977743594418158
3.0425531914893615,-0.09438527751463016
3.044430538172716,-0.09904027525641453
3.04630788485607,-0.1037433556761903
3.0481852315394242,-0.10849547291933694
3.0500625782227786,-0.11329760988028087
3.0519399249061325,-0.11815077936903923
3.053817271589487,-0.12305602533758554
3.055694618272841,-0.12801442416972594
3.057571964956195,-0.13302708603841512
3.0594493116395496,-0.1380951563348608
3.0613266583229035,-0.1432198171739895
3.063204005006258,-0.14840228898119723
3.065081351689612,-0.15364383216576982
3.066958698372966,-0.1589457488866887
3.0688360450563206,-0.16430938491694383
3.0707133917396745,-0.1697361316131624
3.072590738423029,-0.17522742799765978
3.074468085106383,-0.18078476296073273
3.076345431789737,-0.18640967759161473
3.0782227784730916,-0.1921037676473129
3.0801001251564455,-0.19786868616906933
3.0819774718398,-0.20370614625726086
3.083854818523154,-0.20961792401647109
3.085732165206508,-0.21560586168321574
3.0876095118898625,-0.22167187095024904
3.0894868585732165,-0.22781793650243368
3.091364205256571,-0.2340461197804592
3.093241551939925,-0.24035856299039599
3.095118898623279,-0.24675749337844627
3.0969962453066335,-0.2532452277923965
3.0988735919899875,-0.25982417755299375
3.1007509386733414,-0.2664968536609835
3.1026282853566958,-0.27326587236793237
3.10450563204005,-0.2801339611416551
3.106382978723404,-0.28710396506049896
3.1082603254067585,-0.2941788536736974
3.1101376720901124,-0.30136172836957725
3.1120150187734668,-0.30865583029694205
3.113892365456821,-0.31606454889066576
3.115769712140175,-0.32359143105735505
3.1176470588235294,-0.33124019108349356
3.1195244055068834,-0.33901472133536775
3.1214017521902377,-0.34691910382790225
3.123279098873592,-0.35495762274839493
3.125156445556946,-0.36313477803153615
3.1270337922403004,-0.3714553000931947
3.1289111389236544,-0.3799241658438754
3.1307884856070087,-0.38854661611755886
3.132665832290363,-0.39732817466861176
3.134543178973717,-0.40627466890941466
3.1364205256570714,-0.4153922525835156
3.1382978723404253,-0.4246874305952638
3.1401752190237797,-0.4341670862467764
3.142052565707134,-0.44383851116800666
3.143929912390488,-0.4537094382658764
3.1458072590738424,-0.46378807806518
3.1476846057571963,-0.4740831588695691
3.1495619524405507,-0.4846039712343444
3.151439299123905,-0.49536041731921376
3.153316645807259,-0.5063630657775983
3.1551939924906134,-0.5176232129454437
3.1570713391739673,-0.5291529512169901
3.1589486858573217,-0.5409652456454921
3.160826032540676,-0.5530740199848697
3.16270337922403,-0.5654942536044751
3.1645807259073844,-0.5782420909683458
3.1664580725907383,-0.5913349656858276
3.1683354192740927,-0.6047917415249141
3.170212765957447,-0.6186328732497336
3.172090112640801,-0.632880590723867
3.173967459324155,-0.6475591104384659
3.1758448060075093,-0.6626948795187458
3.1777221526908637,-0.6783168583827567
3.1795994993742176,-0.694456849641103
3.181476846057572,-0.7111498826233045
3.183354192740926,-0.7284346652163114
3.1852315394242803,-0.74635411767058
3.1871088861076347,-0.764956006890086
3.1889862327909886,-0.7842937047964789
3.190863579474343,-0.804427101080875
3.192740926157697,-0.8254237096668252
3.1946182728410513,-0.8473600204122673
3.1964956195244056,-0.8703231643148543
3.1983729662077596,-0.8944129837366891
3.200250312891114,-0.9197446319329743
3.202127659574468,-0.9464518730724575
3.2040050062578223,-0.974691322230834
3.2058823529411766,-1.00464796615654
3.2077596996245306,-1.036542459088525
3.209637046307885,-1.070640925841904
3.211514392991239,-1.1072683829455086
3.2133917396745932,-1.1468275088346604
3.2152690863579476,-1.1898255446740307
3.2171464330413015,-1.2369139564138831
3.219023779724656,-1.2889488912221176
3.22090112640801,-1.347087059983524
3.2227784730913642,-1.4129453041509266
3.2246558197747186,-1.488882492746458
3.2265331664580725,-1.5785370226494388
3.228410513141427,-1.6879609828220863
3.230287859824781,-1.8283792051491574
3.232165206508135,-2.0245376989090573
3.2340425531914896,-2.352281464933186
3.2359198998748435,-3.65997045187685
3.2377972465581975,-2.4309018654961774
3.239674593241552,-2.0631565692171767
3.241551939924906,-1.853417866106502
3.2434292866082606,-1.7060033358811624
3.2453066332916145,-1.5922145244286199
3.2471839799749684,-1.4995104389839795
3.249061326658323,-1.4212751650850453
3.250938673341677,-1.3535884576746873
3.252816020025031,-1.293934886867428
3.2546933667083855,-1.240603683018849
3.2565707133917394,-1.192378366374376
3.258448060075094,-1.148362945560806
3.260325406758448,-1.1078783710366844
3.262202753441802,-1.0703976995233475
3.2640801001251565,-1.0355038046116973
3.2659574468085104,-1.002860833924615
3.267834793491865,-0.9721943764797168
3.269712140175219,-0.9432773332753777
3.271589486858573,-0.9159196296051376
3.2734668335419275,-0.889960580026941
3.2753441802252814,-0.8652631253054873
3.2772215269086358,-0.8417094162093695
3.27909887359199,-0.8191973832500746
3.280976220275344,-0.7976380394738832
3.2828535669586985,-0.7769533360013994
3.2847309136420524,-0.7570744397183912
3.2866082603254068,-0.7379403371596869
3.288485607008761,-0.7194966931499579
3.290362953692115,-0.7016949103753402
3.2922403003754694,-0.6844913488785519
3.2941176470588234,-0.6678466739130511
3.2959949937421777,-0.6517253076296058
3.297872340425532,-0.6360949653677509
3.299749687108886,-0.6209262613545021
3.3016270337922404,-0.6061923717052063
3.3035043804755944,-0.5918687450152731
3.3053817271589487,-0.5779328526988142
3.307259073842303,-0.5643639726984617
3.309136420525657,-0.5511430013527323
3.311013767209011,-0.5382522891333713
3.3128911138923653,-0.5256754967084548
3.3147684605757197,-0.5133974683855197
3.3166458072590737,-0.5014041204759722
3.318523153942428,-0.48968234251805637
3.320400500625782,-0.4782199096210323
3.3222778473091363,-0.46700540446109773
3.3241551939924907,-0.45602814768119715
3.3260325406758446,-0.4452781356310087
3.327909887359199,-0.4347459845373884
3.329787234042553,-0.4244228803245337
3.3316645807259073,-0.4143005334110184
3.3335419274092617,-0.40437113790321927
3.3354192740926156,-0.39462733468171973
3.33729662077597,-0.38506217794308906
3.339173967459324,-0.3756691048165242
3.3410513141426783,-0.3664419077218502
3.3429286608260327,-0.35737470917760816
3.3448060075093866,-0.3484619388031844
3.346683354192741,-0.3396983122893802
3.348560700876095,-0.33107881213888607
3.3504380475594493,-0.3225986700007393
3.3523153942428037,-0.31425335044295744
3.3541927409261576,-0.3060385360253401
3.356070087609512,-0.2979501135490318
3.357947434292866,-0.289984161373696
3.3598247809762203,-0.28213693770394194
3.3617021276595747,-0.27440486975768924
3.3635794743429286,-0.26678454373794125
3.365456821026283,-0.25927269553738386
3.367334167709637,-0.25186620211265376
3.3692115143929913,-0.24456207347100384
3.3710888610763456,-0.2373574452181072
3.3729662077596996,-0.23024957162037515
3.374843554443054,-0.22323581913975937
3.376720901126408,-0.21631366040300348
3.3785982478097623,-0.20948066857071954
3.3804755944931166,-0.20273451207489698
3.3823529411764706,-0.19607294969631722
3.3842302878598245,-0.18949382595584766
3.386107634543179,-0.1829950667958889
3.3879849812265332,-0.17657467553039208
3.389862327909887,-0.17023072904351264
3.3917396745932415,-0.1639613742189588
3.3936170212765955,-0.15776482458336324
3.39549436795995,-0.15163935714841045
3.3973717146433042,-0.14558330943792322
3.399249061326658,-0.13959507668684562
3.4011264080100125,-0.1336731092005389
3.4030037546933665,-0.12781590986334063
3.404881101376721,-0.12202203178648861
3.406758448060075,-0.11629007608609716
3.408635794743429,-0.11061868978266536
3.4105131414267835,-0.10500656381422664
3.4123904881101375,-0.09945243115586219
3.414267834793492,-0.09395506503877682
3.416145181476846,-0.08851327726271034
3.4180225281602,-0.08312591659587476
3.4198998748435545,-0.07779186725698659
3.4217772215269084,-0.07251004747446385
3.423654568210263,-0.06727940811802366
3.425531914893617,-0.06209893139850164
3.427409261576971,-0.05696762963168928
3.4292866082603255,-0.051884544062566824
3.4311639549436794,-0.04684874374638153
3.433041301627034,-0.04185932448328124
3.434918648310388,-0.036915407803512094
3.436795994993742,-0.03201614000026362
3.4386733416770965,-0.02716069120751277
3.4405506883604504,-0.022348254518154923
3.442428035043805,-0.017578045050296694
3.444305381727159,-0.01284929547550689
3.446182728410513,-0.008161128585447654
3.448060075093867,-0.003513118734088878
3.4499374217772214,-0.0024106789150365802
3.4518147684605758,-0.011679984086897802
3.45369211514393,-0.021559481339972746
3.455569461827284,-0.03187689757604484
3.457446808510638,-0.04267127206327476
3.4593241551939924,-0.05398722250382403
3.4612015018773468,-0.0658759326173648
3.4630788485607007,-0.07839650725214786
3.464956195244055,-0.0916176962421432
3.466833541927409,-0.10562011433094008
3.4687108886107634,-0.12049913898143062
3.4705882352941178,-0.13636875072362123
3.4724655819774717,-0.1533667096775038
3.474342928660826,-0.17166166812778566
3.47622027534418,-0.19146315882310486
3.4780976220275344,-0.21303597795872956
3.4799749687108887,-0.23672150897755723
3.4818523153942427,-0.26297044005743436
3.483729662077597,-0.29239506440001534
3.485607008760951,-0.32585716555612504
3.4874843554443054,-0.3646251866016243
3.4893617021276597,-0.4106787156520102
3.4912390488110137,-0.4673650839326392
3.493116395494368,-0.5410482679053688
3.494993742177722,-0.6463666626874899
3.4968710888610763,-0.8327206739282343
3.4987484355444307,-1.3831356186342425
3.5006257822277846,-0.78207733366603
3.5025031289111386,-0.6199905743134125
3.504380475594493,-0.5222313950381402
3.5062578222778473,-0.45195198782780976
3.5081351689612017,-0.3970093392750877
3.5100125156445556,-0.3518699420700304
3.5118898623279096,-0.3135421372904875
3.513767209011264,-0.28022410929097724
3.5156445556946183,-0.25074615693211033
3.5175219023779727,-0.2243057343530802
3.5193992490613266,-0.20032824223692136
3.5212765957446805,-0.1783881206820471
3.523153942428035,-0.15816138255956574
3.5250312891113893,-0.13939565778833
3.5269086357947437,-0.121890526445186
3.5287859824780976,-0.10548417128135004
3.5306633291614515,-0.09004405941574205
3.532540675844806,-0.07546027640247642
3.5344180225281603,-0.06164065529443112
3.5362953692115147,-0.04850715019962772
3.5381727158948686,-0.03599309125651537
3.5400500625782225,-0.024041075823126454
3.541927409261577,-0.012601320437955931
3.5438047559449313,-0.0016984151975743917
3.5456821026282856,-0.019700994053981933
3.5475594493116396,-0.04821758383359713
3.5494367959949935,-0.08583992812666497
3.551314142678348,-0.14088629974808445
3.5531914893617023,-0.243854475643548
3.555068836045056,-0.3954405719548581
3.5569461827284106,-0.18405589137582065
3.5588235294117645,-0.1086910509144955
3.560700876095119,-0.06144387834157071
3.5625782227784732,-0.026805416897926447
3.564455569461827,-0.0016932059836149856
3.5663329161451816,-0.11730189224785922
3.5682102628285355,-0.019650076800114012
3.57008760951189,0.008707556920938405
3.5719649561952442,0.05657092361138088
3.573842302878598,0.0717253294353036
3.575719649561952,0.08957354245078748
3.5775969962453065,-0.034390650910994094
3.579474342928661,0.10517738568354973
3.581351689612015,0.10364743187747351
3.583229036295369,-0.04999013131042969
3.585106382978723,0.12895632295400142
3.5869837296620775,0.1405033920457582
3.588861076345432,0.15032701123650796
3.590738423028786,0.1568725367225356
3.59261576971214,0.16998885502784078
3.594493116395494,0.1621934460134504
3.5963704630788484,0.17203903519267907
3.598247809762203,0.1839908222460938
3.600125156445557,0.18329728424417718
3.602002503128911,0.16030922906338912
3.603879849812265,0.18095763993161937
3.6057571964956194,-0.027570240330517446
3.607634543178974,0.17530414786242499
3.609511889862328,0.19677907805347739
3.611389236545682,0.2001023802217261
3.613266583229036,0.19776123303400123
3.6151439299123904,0.18931179952101318
3.617021276595745,0.2093578489766161
3.618898623279099,0.22179965347895964
3.620775969962453,0.2105760763180492
3.622653316645807,0.2274299786298359
3.6245306633291614,0.22547617231654252
3.626408010012516,0.1292035213560419
3.6282853566958697,-0.188685490856151
3.630162703379224,-0.010831592997875351
3.632040050062578,-0.014927136247576986
3.6339173967459324,0.07418061721198413
3.6357947434292868,0.17232392733183724
3.6376720901126407,0.21769423695630763
3.6395494367959946,0.2286153994403829
3.641426783479349,0.24447706244950496
3.6433041301627034,0.24063853288867562
3.6451814768460578,0.23774046832733792
3.6470588235294117,-0.21919765146148748
3.6489361702127656,0.24546209650530576
3.65081351689612,0.26633722102114066
3.6526908635794744,0.2698158147341689
3.6545682102628287,0.2768350981527559
3.6564455569461827,0.2727191699415552
3.6583229036295366,0.2857939086929805
3.660200250312891,0.2824891535414327
3.6620775969962454,0.2506251619603483
3.6639549436795997,0.27495927740131343
3.6658322903629537,0.28453165483527393
3.6677096370463076,0.3035571733494957
3.669586983729662,0.3013389433907194
3.6714643304130163,0.30749437897223975
3.6733416770963707,0.3139596736136245
3.6752190237797246,0.32891041467454446
3.6770963704630786,0.3256791216954284
3.678973717146433,0.3446470976895002
3.6808510638297873,0.3478514174810879
3.6827284105131417,0.33462151494320164
3.6846057571964956,0.3352037772955313
3.6864831038798496,0.36602385386052344
3.688360450563204,0.3445403065017608
3.6902377972465583,0.33844477408607226
3.6921151439299122,0.35567289469044755
3.6939924906132666,0.35447862917576084
3.6958698372966206,0.3634310636604133
3.697747183979975,0.3652797091554733
3.6996245306633293,0.3621416933109207
3.7015018773466832,0.3289820382471461
3.7033792240300376,0.3555629935893599
3.7052565707133915,0.3563955971903009
3.707133917396746,0.358682341623767
